id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
20516112,"Sunny, spacious room in Williamsburg Brooklyn Apt",11418466,Brooklyn,Williamsburg,40.70994,-73.94867,Private room,89,2,50,2.35,246
20542273,Bright & Sunny Prime Williamsburg Private Room,81287,Brooklyn,Williamsburg,40.71012,-73.96462,Private room,150,1,39,1.72,266
20566445,Amazing Backyard Studio (Williamsburg),53821850,Brooklyn,Williamsburg,40.70834,-73.94717,Entire home/apt,139,1,115,5.06,67
20587057,"Quiet 1BR in Williamsburg BK, 11 min to Manhattan",15723130,Brooklyn,Williamsburg,40.7138,-73.94001,Entire home/apt,150,3,8,0.35,9
20608040,Private Room in Cozy shared apt in Williamsburg,6757221,Brooklyn,Williamsburg,40.70739,-73.94726,Private room,60,6,3,0.14,254
20636416,"Sunny Williamsburg Loft, minutes to Manhattan",57641560,Brooklyn,Williamsburg,40.71453,-73.9551,Entire home/apt,182,5,62,2.83,28
20640353,Beautiful Bright Stay in Williamsburg,3363377,Brooklyn,Williamsburg,40.70942,-73.94897,Private room,105,2,48,2.14,46
20708619,Superhost*Sunny/Private room in 2BR ❤️Williamsburg,15647614,Brooklyn,Williamsburg,40.71647,-73.95333,Private room,75,1,45,2.01,84
20753678,"LGBTQ+ Super Chill Brooklyn Private Room, JMZ,",46120364,Brooklyn,Williamsburg,40.70926,-73.95515,Private room,76,1,9,0.4,310
20817201,Private Room in Trendy Williamsburg Loft,643120,Brooklyn,Williamsburg,40.71591,-73.95513,Private room,50,4,56,2.53,8
